href,title_en,page_num,title_ru
https://shikimori.one/animes/z5114-fullmetal-alchemist-brotherhood,Fullmetal Alchemist: Brotherhood,1,Стальной алхимик: Братство
https://shikimori.one/animes/z9253-steins-gate,Steins;Gate,1,Врата Штейна
https://shikimori.one/animes/z28977-gintama,Gintama°,1,Гинтама 4
https://shikimori.one/animes/z11061-hunter-x-hunter-2011,Hunter x Hunter (2011),1,Охотник х Охотник
https://shikimori.one/animes/820-ginga-eiyuu-densetsu,Ginga Eiyuu Densetsu,1,Легенда о героях Галактики
https://shikimori.one/animes/z9969-gintama,Gintama',1,Гинтама 2
https://shikimori.one/animes/38524-shingeki-no-kyojin-season-3-part-2,Shingeki no Kyojin Season 3 Part 2,1,Вторжение гигантов 3. Часть 2
https://shikimori.one/animes/32281-kimi-no-na-wa,Kimi no Na wa.,1,Твоё имя
https://shikimori.one/animes/z15417-gintama-enchousen,Gintama': Enchousen,1,Гинтама 3
https://shikimori.one/animes/35180-3-gatsu-no-lion-2nd-season,3-gatsu no Lion 2nd Season,1,Мартовский лев 2
https://shikimori.one/animes/y28851-koe-no-katachi,Koe no Katachi,1,Форма голоса
https://shikimori.one/animes/z34096-gintama,Gintama.,1,Гинтама 5
https://shikimori.one/animes/z4181-clannad-after-story,Clannad: After Story,1,Кланнад: Продолжение истории
https://shikimori.one/animes/z918-gintama,Gintama,1,Гинтама
https://shikimori.one/animes/z15335-gintama-movie-2-kanketsu-hen-yorozuya-yo-eien-nare,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1,Гинтама: Финальная арка — Ёродзуя навсегда!
https://shikimori.one/animes/z35247-owarimonogatari-2nd-season,Owarimonogatari 2nd Season,1,История финала 2
https://shikimori.one/animes/z32935-haikyuu-karasuno-koukou-vs-shiratorizawa-gakuen-koukou,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,1,Волейбол!! 3
https://shikimori.one/animes/2904-code-geass-hangyaku-no-lelouch-r2,Code Geass: Hangyaku no Lelouch R2,1,Код Гиас: Восставший Лелуш 2
https://shikimori.one/animes/z37510-mob-psycho-100-ii,Mob Psycho 100 II,1,Моб Психо 100 2
https://shikimori.one/animes/z199-sen-to-chihiro-no-kamikakushi,Sen to Chihiro no Kamikakushi,1,Унесённые призраками
https://shikimori.one/animes/37491-gintama-shirogane-no-tamashii-hen-kouhan-sen,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,2,Гинтама 8
https://shikimori.one/animes/z31758-kizumonogatari-iii-reiketsu-hen,Kizumonogatari III: Reiketsu-hen,2,Истории ран. Часть 3: Холодная кровь
https://shikimori.one/animes/z28891-haikyuu-second-season,Haikyuu!! Second Season,2,Волейбол!! 2
https://shikimori.one/animes/40591-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,2,Госпожа Кагуя: в любви как на войне 2
https://shikimori.one/animes/z38000-kimetsu-no-yaiba,Kimetsu no Yaiba,2,"Клинок, рассекающий демонов"
https://shikimori.one/animes/z34599-made-in-abyss,Made in Abyss,2,Созданный в Бездне
https://shikimori.one/animes/z23273-shigatsu-wa-kimi-no-uso,Shigatsu wa Kimi no Uso,2,Твоя апрельская ложь
https://shikimori.one/animes/33095-shouwa-genroku-rakugo-shinjuu-sukeroku-futatabi-hen,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,2,Сёва-Гэнроку: Двойное самоубийство по ракуго 2
https://shikimori.one/animes/1-cowboy-bebop,Cowboy Bebop,2,Ковбой Бибоп
https://shikimori.one/animes/36838-gintama-shirogane-no-tamashii-hen,Gintama.: Shirogane no Tamashii-hen,2,Гинтама 7
https://shikimori.one/animes/24701-mushishi-zoku-shou-2nd-season,Mushishi Zoku Shou 2nd Season,2,Мастер муси: Следующая глава 2
https://shikimori.one/animes/x17074-monogatari-series-second-season,Monogatari Series: Second Season,2,Цикл историй: Второй сезон
https://shikimori.one/animes/263-hajime-no-ippo,Hajime no Ippo,2,Первый шаг
https://shikimori.one/animes/37521-vinland-saga,Vinland Saga,2,Сага о Винланде
https://shikimori.one/animes/z36862-made-in-abyss-movie-3-fukaki-tamashii-no-reimei,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,2,Созданный в Бездне: Рассвет глубокой души
https://shikimori.one/animes/164-mononoke-hime,Mononoke Hime,2,Принцесса Мононоке
https://shikimori.one/animes/1575-code-geass,Code Geass,2,Код Гиас: Восставший Лелуш
https://shikimori.one/animes/21939-mushishi-zoku-shou,Mushishi Zoku Shou,2,Мастер муси: Следующая глава
https://shikimori.one/animes/z44-rurouni-kenshin-meiji-kenkaku-romantan-tsuioku-hen,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,2,Бродяга Кэнсин: Воспоминания
https://shikimori.one/animes/19-monster,Monster,2,Монстр
https://shikimori.one/animes/245-great-teacher-onizuka,Great Teacher Onizuka,3,Крутой учитель Онидзука
https://shikimori.one/animes/457-mushishi,Mushishi,3,Мастер муси
https://shikimori.one/animes/5258-hajime-no-ippo-new-challenger,Hajime no Ippo: New Challenger,3,Первый шаг: Новый вызов
https://shikimori.one/animes/431-howl-no-ugoku-shiro,Howl no Ugoku Shiro,3,Ходячий замок
https://shikimori.one/animes/11665-natsume-yuujinchou-shi,Natsume Yuujinchou Shi,3,Тетрадь дружбы Нацумэ 4
https://shikimori.one/animes/12355-ookami-kodomo-no-ame-to-yuki,Ookami Kodomo no Ame to Yuki,3,Волчьи дети Амэ и Юки
https://shikimori.one/animes/z38329-seishun-buta-yarou-wa-yumemiru-shoujo-no-yume-wo-minai,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,3,Этот глупый свин не понимает мечту девочки-зайки. Фильм
https://shikimori.one/animes/7311-suzumiya-haruhi-no-shoushitsu,Suzumiya Haruhi no Shoushitsu,3,Исчезновение Харухи Судзумии
https://shikimori.one/animes/z2001-tengen-toppa-gurren-lagann,Tengen Toppa Gurren Lagann,3,"Гуррен-Лаганн, пронзающий небеса"
https://shikimori.one/animes/37991-jojo-no-kimyou-na-bouken-part-5-ougon-no-kaze,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,3,Невероятное приключение ДжоДжо: Золотой ветер
https://shikimori.one/animes/34591-natsume-yuujinchou-roku,Natsume Yuujinchou Roku,3,Тетрадь дружбы Нацумэ 6
https://shikimori.one/animes/z37779-yakusoku-no-neverland,Yakusoku no Neverland,3,Обещанный Неверленд
https://shikimori.one/animes/2921-ashita-no-joe-2,Ashita no Joe 2,3,Завтрашний Джо 2
https://shikimori.one/animes/z33049-fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,3,Судьба/Ночь схватки: Прикосновение небес 2
https://shikimori.one/animes/28957-mushishi-zoku-shou-suzu-no-shizuku,Mushishi Zoku Shou: Suzu no Shizuku,3,Мастер муси: Следующая глава — Капли колокольчиков
https://shikimori.one/animes/z30276-one-punch-man,One Punch Man,3,Ванпанчмен
https://shikimori.one/animes/z31757-kizumonogatari-ii-nekketsu-hen,Kizumonogatari II: Nekketsu-hen,3,Истории ран. Часть 2: Горячая кровь
https://shikimori.one/animes/z1535-death-note,Death Note,3,Тетрадь смерти
