title_en,href,title_ru,page_num
Fullmetal Alchemist: Brotherhood,https://shikimori.one/animes/z5114-fullmetal-alchemist-brotherhood,Стальной алхимик: Братство,1
Steins;Gate,https://shikimori.one/animes/z9253-steins-gate,Врата Штейна,1
Gintama°,https://shikimori.one/animes/z28977-gintama,Гинтама 4,1
Hunter x Hunter (2011),https://shikimori.one/animes/z11061-hunter-x-hunter-2011,Охотник х Охотник,1
Ginga Eiyuu Densetsu,https://shikimori.one/animes/820-ginga-eiyuu-densetsu,Легенда о героях Галактики,1
Gintama',https://shikimori.one/animes/z9969-gintama,Гинтама 2,1
Shingeki no Kyojin Season 3 Part 2,https://shikimori.one/animes/38524-shingeki-no-kyojin-season-3-part-2,Вторжение гигантов 3. Часть 2,1
Kimi no Na wa.,https://shikimori.one/animes/32281-kimi-no-na-wa,Твоё имя,1
Gintama': Enchousen,https://shikimori.one/animes/z15417-gintama-enchousen,Гинтама 3,1
3-gatsu no Lion 2nd Season,https://shikimori.one/animes/35180-3-gatsu-no-lion-2nd-season,Мартовский лев 2,1
Koe no Katachi,https://shikimori.one/animes/y28851-koe-no-katachi,Форма голоса,1
Gintama.,https://shikimori.one/animes/z34096-gintama,Гинтама 5,1
Clannad: After Story,https://shikimori.one/animes/z4181-clannad-after-story,Кланнад: Продолжение истории,1
Gintama,https://shikimori.one/animes/z918-gintama,Гинтама,1
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://shikimori.one/animes/z15335-gintama-movie-2-kanketsu-hen-yorozuya-yo-eien-nare,Гинтама: Финальная арка — Ёродзуя навсегда!,1
Owarimonogatari 2nd Season,https://shikimori.one/animes/z35247-owarimonogatari-2nd-season,История финала 2,1
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://shikimori.one/animes/z32935-haikyuu-karasuno-koukou-vs-shiratorizawa-gakuen-koukou,Волейбол!! 3,1
Code Geass: Hangyaku no Lelouch R2,https://shikimori.one/animes/2904-code-geass-hangyaku-no-lelouch-r2,Код Гиас: Восставший Лелуш 2,1
Mob Psycho 100 II,https://shikimori.one/animes/z37510-mob-psycho-100-ii,Моб Психо 100 2,1
Sen to Chihiro no Kamikakushi,https://shikimori.one/animes/z199-sen-to-chihiro-no-kamikakushi,Унесённые призраками,1
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://shikimori.one/animes/37491-gintama-shirogane-no-tamashii-hen-kouhan-sen,Гинтама 8,2
Kizumonogatari III: Reiketsu-hen,https://shikimori.one/animes/z31758-kizumonogatari-iii-reiketsu-hen,Истории ран. Часть 3: Холодная кровь,2
Haikyuu!! Second Season,https://shikimori.one/animes/z28891-haikyuu-second-season,Волейбол!! 2,2
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,https://shikimori.one/animes/40591-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,Госпожа Кагуя: в любви как на войне 2,2
Kimetsu no Yaiba,https://shikimori.one/animes/z38000-kimetsu-no-yaiba,"Клинок, рассекающий демонов",2
Made in Abyss,https://shikimori.one/animes/z34599-made-in-abyss,Созданный в Бездне,2
Shigatsu wa Kimi no Uso,https://shikimori.one/animes/z23273-shigatsu-wa-kimi-no-uso,Твоя апрельская ложь,2
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://shikimori.one/animes/33095-shouwa-genroku-rakugo-shinjuu-sukeroku-futatabi-hen,Сёва-Гэнроку: Двойное самоубийство по ракуго 2,2
Cowboy Bebop,https://shikimori.one/animes/1-cowboy-bebop,Ковбой Бибоп,2
Gintama.: Shirogane no Tamashii-hen,https://shikimori.one/animes/36838-gintama-shirogane-no-tamashii-hen,Гинтама 7,2
Mushishi Zoku Shou 2nd Season,https://shikimori.one/animes/24701-mushishi-zoku-shou-2nd-season,Мастер муси: Следующая глава 2,2
Monogatari Series: Second Season,https://shikimori.one/animes/x17074-monogatari-series-second-season,Цикл историй: Второй сезон,2
Hajime no Ippo,https://shikimori.one/animes/263-hajime-no-ippo,Первый шаг,2
